 [error]: connect ECONNREFUSED 127.0.0.1:2717  =======> 2022-01-18T20:13:59.346Z
[error]: Requested route does not exits.  =======>  2022-01-18T20:38:27.723Z) --- 2:08:27 am Wed Jan 19 2022
[error]: Requested route does not exit.  =======>  2022-01-20T19:51:44.610Z) --- 1:21:44 am Fri Jan 21 2022
[error]: Requested route does not exit.  =======>  2022-01-20T19:52:22.033Z) --- 1:22:22 am Fri Jan 21 2022
[error]: Cannot destructure property 'name' of '(intermediate value)' as it is undefined.  =======>  2022-01-20T19:53:58.491Z) --- 1:23:58 am Fri Jan 21 2022
[error]: "name" is required  =======>  2022-01-20T19:54:23.069Z) --- 1:24:23 am Fri Jan 21 2022
[error]: "username" is required  =======>  2022-01-20T19:54:54.440Z) --- 1:24:54 am Fri Jan 21 2022
[error]: "email" is required  =======>  2022-01-20T19:55:03.621Z) --- 1:25:03 am Fri Jan 21 2022
[error]: "password" is required  =======>  2022-01-20T19:55:26.461Z) --- 1:25:26 am Fri Jan 21 2022
[error]: "password" length must be at least 6 characters long  =======>  2022-01-20T19:57:08.418Z) --- 1:27:08 am Fri Jan 21 2022
[error]: Cannot read properties of undefined (reading 'findOne')  =======>  2022-01-20T20:22:06.339Z) --- 1:52:06 am Fri Jan 21 2022
[error]: Email already exists. Please use with another  =======>  2022-01-20T20:23:31.130Z) --- 1:53:31 am Fri Jan 21 2022
[error]: Username already taken. Please try another one.  =======>  2022-01-20T20:23:36.336Z) --- 1:53:36 am Fri Jan 21 2022
[error]: connect ECONNREFUSED 127.0.0.1:27017  =======>  2022-01-21T14:52:12.748Z) --- 8:22:12 PM Fri Jan 21 2022
[error]: connect ECONNREFUSED 127.0.0.1:27017  =======>  2022-01-21T14:52:12.756Z) --- 8:22:12 PM Fri Jan 21 2022
[error]: Email already exists. Please use with another  =======>  2022-01-21T15:01:01.554Z) --- 8:31:01 pm Fri Jan 21 2022
[error]: userId.to_string is not a function  =======>  2022-01-21T15:02:41.567Z) --- 8:32:41 pm Fri Jan 21 2022
[error]: Email already exists. Please use with another  =======>  2022-01-21T15:04:01.497Z) --- 8:34:01 pm Fri Jan 21 2022
[error]: Internal Server Error  =======>  2022-01-21T15:04:46.088Z) --- 8:34:46 pm Fri Jan 21 2022
[error]: Internal Server Error  =======>  2022-01-21T15:05:15.111Z) --- 8:35:15 pm Fri Jan 21 2022
[error]: Internal Server Error  =======>  2022-01-21T15:05:46.136Z) --- 8:35:46 pm Fri Jan 21 2022
[error]: User didn't exist. Please use with another one  =======>  2022-01-21T15:26:22.293Z) --- 8:56:22 pm Fri Jan 21 2022
[error]: accessToken is not defined  =======>  2022-01-21T15:28:41.068Z) --- 8:58:41 pm Fri Jan 21 2022
[error]: accessToken is not defined  =======>  2022-01-21T15:29:35.349Z) --- 8:59:35 pm Fri Jan 21 2022
[error]: Email already exists. Please use with another one.  =======>  2022-01-21T15:29:58.712Z) --- 8:59:58 pm Fri Jan 21 2022
[error]: user.isPasswordCorrect is not a function  =======>  2022-01-21T15:30:02.856Z) --- 9:00:02 pm Fri Jan 21 2022
[error]: newUser is not defined  =======>  2022-01-21T15:31:12.201Z) --- 9:01:12 pm Fri Jan 21 2022
[error]: Requested route does not exit.  =======>  2022-01-22T08:09:28.000Z) --- 1:39:28 pm Sat Jan 22 2022
[error]: Requested route does not exit.  =======>  2022-01-22T08:11:18.084Z) --- 1:41:18 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:11:26.287Z) --- 1:41:26 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:12:58.558Z) --- 1:42:58 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:13:17.577Z) --- 1:43:17 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:13:18.801Z) --- 1:43:18 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:13:37.804Z) --- 1:43:37 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:15:39.177Z) --- 1:45:39 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:16:44.879Z) --- 1:46:44 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:16:46.209Z) --- 1:46:46 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:17:02.130Z) --- 1:47:02 pm Sat Jan 22 2022
[error]: req.cookies.toString is not a function  =======>  2022-01-22T08:17:12.984Z) --- 1:47:12 pm Sat Jan 22 2022
[error]: Cannot convert object to primitive value  =======>  2022-01-22T08:17:29.045Z) --- 1:47:29 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:17:40.620Z) --- 1:47:40 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:19:35.525Z) --- 1:49:35 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:47:21.310Z) --- 2:17:21 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:48:15.562Z) --- 2:18:15 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:48:35.093Z) --- 2:18:35 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:49:45.476Z) --- 2:19:45 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:50:00.320Z) --- 2:20:00 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:52:56.284Z) --- 2:22:56 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:53:10.206Z) --- 2:23:10 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:55:51.116Z) --- 2:25:51 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:56:21.499Z) --- 2:26:21 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:56:36.469Z) --- 2:26:36 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:56:37.908Z) --- 2:26:37 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:56:38.490Z) --- 2:26:38 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:56:38.765Z) --- 2:26:38 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:56:38.965Z) --- 2:26:38 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:56:39.146Z) --- 2:26:39 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:56:39.321Z) --- 2:26:39 pm Sat Jan 22 2022
[error]: Access token couldn't found. Issue a new token, Or log in again  =======>  2022-01-22T08:56:39.466Z) --- 2:26:39 pm Sat Jan 22 2022
